StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q73,Q72,Q71,Q70,Q69,Q12,Q13,Q14,Q15,Q1,Q2,Q5,Q6,Q7,Q8,Q9,Q10,Q16,Q17,Q18,Q19,Q20,Q21,Q53,Q55,Q24,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q34,Q35,Q36,Q37,Q38,Q3,Q4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I trusted the robot's bids in the 1st round.,I trusted the robot's bids in the 2nd round.,I trusted the robot's bids in the 3rd round.,I trusted the robot's bids in the 4th round.,I trusted the robot's bids in the 5th round.,I trusted the robot's bids in the 6th round.,I suspected the robot was bluffing.,I fell for the robot's misleading behavior at least once.,I adjusted my strategy based on how honest I thought the robot was.,The robot behaved honestly during the game.,What do you think the robot's gender is?,"If you chose other in the question above, please elaborate.",What is your age?,What is your gender?,What is your ethnicity?,Have you played Texas Hold'em before?,"If yes, how experienced do you think you are?",Would you like to receive study results if they are published?,I felt engaged with the robot.,The robot's behavior made me second-guess myself.,I experienced emotional reactions to the robot's moves.,I was confident in my decisions.,I felt anxious or tense during some rounds.,I felt the robot was challenging me intentionally.,Reliable,Sincere,Capable,Ethical,Predictable,Genuine,Skilled,Respectable,Someone you can count on,Candid,Competent,Principled,Consistent,Authentic,Meticulous,Has integrity,The robot’s voice influenced how I interpreted its intentions.,The robot’s voice made it feel more humanlike.,I felt more socially engaged because of the robot’s voice.,I found the robot’s voice soothing.,I found the robot’s voice suspicious or off-putting.,The condition for the survey,Participant ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",{"ImportId":"status"},{"ImportId":"ipAddress"},{"ImportId":"progress"},{"ImportId":"duration"},{"ImportId":"finished"},"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",{"ImportId":"_recordId"},{"ImportId":"recipientLastName"},{"ImportId":"recipientFirstName"},{"ImportId":"recipientEmail"},{"ImportId":"externalDataReference"},{"ImportId":"locationLatitude"},{"ImportId":"locationLongitude"},{"ImportId":"distributionChannel"},{"ImportId":"userLanguage"},{"ImportId":"QID11"},{"ImportId":"QID73"},{"ImportId":"QID72"},{"ImportId":"QID71"},{"ImportId":"QID70"},{"ImportId":"QID69"},{"ImportId":"QID12"},{"ImportId":"QID13"},{"ImportId":"QID14"},{"ImportId":"QID15"},{"ImportId":"QID38"},{"ImportId":"QID52_TEXT"},{"ImportId":"QID1_TEXT"},{"ImportId":"QID2"},{"ImportId":"QID4"},{"ImportId":"QID7"},{"ImportId":"QID8"},{"ImportId":"QID9"},{"ImportId":"QID16"},{"ImportId":"QID17"},{"ImportId":"QID18"},{"ImportId":"QID19"},{"ImportId":"QID20"},{"ImportId":"QID21"},{"ImportId":"QID53"},{"ImportId":"QID55"},{"ImportId":"QID24"},{"ImportId":"QID56"},{"ImportId":"QID57"},{"ImportId":"QID58"},{"ImportId":"QID59"},{"ImportId":"QID60"},{"ImportId":"QID61"},{"ImportId":"QID62"},{"ImportId":"QID63"},{"ImportId":"QID64"},{"ImportId":"QID65"},{"ImportId":"QID66"},{"ImportId":"QID67"},{"ImportId":"QID68"},{"ImportId":"QID27"},{"ImportId":"QID28"},{"ImportId":"QID29"},{"ImportId":"QID30"},{"ImportId":"QID31"},{"ImportId":"QID32"},{"ImportId":"QID33_TEXT"}
12/05/2025 14:56,12/05/2025 15:08,0,128.135.204.106,100,664,1,12/05/2025 15:08,R_7C8Bo7xmyZgcOfg,,,,,41.7821,-87.6046,anonymous,EN,6,2,6,6,6,6,5,5,2,5,4,Don’t ever think about it ,21,2,4,1,,1,7,6,6,5,6,2,5,5,4,5,6,5,5,4,2,2,6,4,2,3,6,4,5,2,6,3,2,2,1001
12/05/2025 15:16,12/05/2025 15:23,0,128.135.204.106,100,435,1,12/05/2025 15:23,R_5NQw1MxOilFcGjz,,,,,41.7821,-87.6046,anonymous,EN,2,5,4,2,2,2,6,6,2,2,3,,23,2,4,2,4,1,2,1,1,5,1,5,5,5,5,5,5,5,3,4,5,5,5,3,5,5,6,5,2,6,6,6,2,1,1002
12/05/2025 16:13,12/05/2025 16:22,0,128.135.204.106,100,537,1,12/05/2025 16:22,R_3IbJdQm22aZUJFF,,,,,41.7821,-87.6046,anonymous,EN,2,2,5,2,2,2,4,5,2,1,2,,22,2,4,2,3,1,6,5,5,6,4,7,2,2,2,1,2,2,2,2,2,2,2,2,6,2,2,2,6,3,6,2,7,1,1004
13/05/2025 12:35,13/05/2025 12:48,0,128.135.204.106,100,796,1,13/05/2025 12:48,R_58ce96LZoZdgUHn,,,,,41.7821,-87.6046,anonymous,EN,1,1,1,7,4,4,4,3,1,6,1,,25,1,4,2,3,1,4,1,1,7,1,4,5,5,3,1,1,5,3,5,4,4,4,4,4,4,4,3,1,1,1,1,1,2,1005
13/05/2025 13:26,13/05/2025 13:36,0,12.74.213.75,100,596,1,13/05/2025 13:36,R_34cIfo8Npm7ODf5,,,,,41.804,-87.707,anonymous,EN,2,1,2,7,2,6,2,7,6,1,1,,23,2,4,2,5,1,6,6,5,3,5,5,2,4,5,2,5,5,5,6,4,6,6,4,6,6,5,6,4,5,5,4,4,1,1006
13/05/2025 13:44,13/05/2025 13:58,0,12.74.213.75,100,806,1,13/05/2025 13:58,R_7EhRba76zBWnCcv,,,,,41.804,-87.707,anonymous,EN,5,4,6,4,6,6,6,3,5,3,1,,22,2,4,2,2,1,6,4,5,3,2,5,3,3,5,6,5,5,4,6,3,4,5,6,5,5,5,4,3,3,3,2,2,2,1007
13/05/2025 15:14,13/05/2025 15:20,0,12.74.213.14,100,332,1,13/05/2025 15:20,R_7Ky45At3mmov7Ut,,,,,41.804,-87.707,anonymous,EN,1,1,1,2,1,1,2,5,2,6,3,,23,3,4,2,5,1,1,1,5,5,2,1,1,5,6,4,6,4,1,7,5,4,6,6,1,6,3,5,2,2,2,4,4,2,1008
14/05/2025 14:12,14/05/2025 14:30,0,108.147.92.126,100,1036,1,14/05/2025 14:30,R_7jcHv4WBoBMOtwQ,,,,,41.804,-87.707,anonymous,EN,5,5,5,5,5,4,3,3,6,5,2,,26,1,4,1,1,1,7,4,5,5,2,7,7,5,6,4,5,5,7,6,2,4,4,5,5,4,4,4,2,2,2,2,2,1,1009
14/05/2025 14:44,14/05/2025 14:49,0,108.147.92.126,100,295,1,14/05/2025 14:49,R_1GIJRzFtfDqOZyE,,,,,41.804,-87.707,anonymous,EN,2,4,4,2,2,2,6,7,3,2,2,,25,1,4,1,,1,6,5,2,5,3,6,1,1,4,2,4,2,4,4,2,2,4,2,5,4,6,3,3,2,4,2,6,1,1010
15/05/2025 15:11,15/05/2025 15:25,0,108.147.92.122,100,851,1,15/05/2025 15:25,R_6dok5z0AeYop8BQ,,,,,41.804,-87.707,anonymous,EN,4,3,3,3,2,1,6,6,6,2,1,,24,1,4,2,3,1,6,6,6,5,6,6,3,3,6,4,5,2,6,4,5,5,5,4,6,5,5,4,4,2,2,3,3,2,1011
15/05/2025 15:40,15/05/2025 15:54,0,108.147.92.122,100,869,1,15/05/2025 15:54,R_77HnDvV9IgvCxAl,,,,,41.804,-87.707,anonymous,EN,4,5,4,4,5,2,4,6,5,4,1, nods head stiffly and looks puxin ,22,2,4,2,1,1,,,,,,2,4,2,5,7,2,2,4,6,2,3,4,4,2,2,6,6,2,2,6,2,6,1,1012
15/05/2025 15:56,15/05/2025 16:04,0,128.135.204.6,100,512,1,15/05/2025 16:04,R_3DvguvvXU8cKJ2a,,,,,41.7821,-87.6046,anonymous,EN,3,4,5,2,4,5,6,5,4,3,1,,22,2,4,2,3,1,3,5,5,5,5,5,3,4,5,4,3,3,5,7,3,4,4,4,5,4,4,5,3,4,5,3,4,2,1013
16/05/2025 11:52,16/05/2025 12:00,0,128.135.204.22,100,463,1,16/05/2025 12:00,R_7BbRzgYczviLQ9b,,,,,41.7821,-87.6046,anonymous,EN,3,1,1,5,1,2,6,6,4,3,2,The voice and the way the robot was speaking felt calm.,20,2,4,1,2,1,6,5,7,3,7,6,3,6,5,6,1,5,6,6,3,3,6,5,3,5,3,5,7,6,5,2,4,1,1014
19/05/2025 09:37,19/05/2025 09:47,0,12.74.213.11,100,622,1,19/05/2025 09:47,R_5gYfSL5wfOCnBzu,,,,,41.804,-87.707,anonymous,EN,5,2,2,6,2,6,6,6,2,3,3,,21,1,4,2,1,1,4,2,2,6,2,2,2,2,6,2,2,4,3,5,4,6,6,3,6,3,4,3,3,2,2,2,2,2,1015
20/05/2025 12:36,20/05/2025 12:45,0,12.74.213.132,100,524,1,20/05/2025 12:45,R_1rNAMRbrTtK8yfA,,,,,41.804,-87.707,anonymous,EN,4,2,3,3,2,3,4,6,6,2,3,,24,1,4,2,3,1,5,5,5,4,3,5,5,4,5,4,3,5,6,4,5,5,4,5,6,4,5,6,3,2,5,3,5,1,1016
21/05/2025 15:14,21/05/2025 15:24,0,128.135.204.206,100,624,1,21/05/2025 15:24,R_3EcbvVcMeZatJGT,,,,,41.7821,-87.6046,anonymous,EN,2,2,1,2,5,1,3,5,1,1,1,,25,1,4,2,1,1,5,5,6,7,2,4,7,2,6,3,2,1,5,7,6,2,5,5,5,5,5,3,6,7,5,6,1,2,1017
21/05/2025 16:36,21/05/2025 16:46,0,128.135.204.206,100,595,1,21/05/2025 16:46,R_6AZGKibsQwgIzL3,,,,,41.7821,-87.6046,anonymous,EN,2,3,5,5,2,3,5,6,6,2,3,,22,2,4,2,2,1,7,6,4,3,4,2,7,7,7,7,6,7,7,7,2,7,7,7,6,3,6,7,5,3,6,4,2,1,1018
23/05/2025 11:12,23/05/2025 11:26,0,128.135.204.206,100,857,1,23/05/2025 11:26,R_71jFMh8NBvSyMah,,,,,41.7821,-87.6046,anonymous,EN,6,4,2,4,4,2,6,6,6,1,2,,25,1,4,2,1,1,4,2,3,4,5,3,4,4,4,6,2,4,4,6,4,4,4,5,6,2,2,4,2,4,4,2,2,1,1020
23/05/2025 11:33,23/05/2025 11:45,0,128.135.204.114,100,681,1,23/05/2025 11:45,R_3t2IrgyXLWtE8r2,,,,,41.7821,-87.6046,anonymous,EN,2,2,2,2,2,2,6,6,2,3,3,,28,2,4,1,,1,6,2,6,4,6,5,6,6,6,4,2,6,6,4,6,6,6,6,6,6,6,6,2,2,2,4,2,2,1019
25/05/2025 16:11,25/05/2025 16:12,0,198.167.171.164,100,45,1,25/05/2025 16:12,R_5dnMhWIsX0ZzXiR,,,,,40.7653,-73.9589,anonymous,EN,5,5,5,6,4,5,3,6,5,6,1,,20,2,4,2,1,1,6,5,5,6,3,6,6,6,6,6,5,6,6,7,6,6,6,6,6,6,6,6,5,6,6,5,6,1,1003
